workload,op_class,region_role,M,N,K,layers_in_capture,outer_loop_K,K_source,instances_per_replan,macs_per_instance,macs_per_replan,operand_b_identity,dataflow_candidates,reduction_reuse_scope,kv_state_bytes_workload,k_reduction_needs_partial_sum,evidence
smolvla,linear_gemm,backbone_once,1024,768,768,48,1,not_repeated,48,603979776,28991029248,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
smolvla,linear_gemm,backbone_once,113,2560,960,32,1,not_repeated,32,277708800,8886681600,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
smolvla,linear_gemm,backbone_once,113,960,2560,16,1,not_repeated,16,277708800,4443340800,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
smolvla,linear_gemm,backbone_once,113,960,960,32,1,not_repeated,32,104140800,3332505600,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
smolvla,linear_gemm,backbone_once,113,320,960,32,1,not_repeated,32,34713600,1110835200,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
smolvla,linear_gemm,backbone_once,1,960,32,1,1,not_repeated,1,30720,30720,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
smolvla,linear_gemm,repeated_head,50,2048,720,32,10,recovered_from_ir,320,73728000,23592960000,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
smolvla,linear_gemm,repeated_head,50,720,2048,16,10,recovered_from_ir,160,73728000,11796480000,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
smolvla,linear_gemm,repeated_head,50,720,1440,1,10,recovered_from_ir,10,51840000,518400000,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
smolvla,linear_gemm,repeated_head,50,960,720,16,10,recovered_from_ir,160,34560000,5529600000,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
smolvla,linear_gemm,repeated_head,50,720,960,16,10,recovered_from_ir,160,34560000,5529600000,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
smolvla,linear_gemm,repeated_head,50,720,720,1,10,recovered_from_ir,10,25920000,259200000,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
smolvla,linear_gemm,repeated_head,113,320,320,16,10,recovered_from_ir,160,11571200,1851392000,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
smolvla,linear_gemm,repeated_head,50,320,720,16,10,recovered_from_ir,160,11520000,1843200000,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
smolvla,linear_gemm,repeated_head,50,720,32,1,10,recovered_from_ir,10,1152000,11520000,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
smolvla,linear_gemm,repeated_head,50,32,720,1,10,recovered_from_ir,10,1152000,11520000,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
