capsule,dtypes,failure_plane,family,input_elements,kind,l2_cycles,l2_engine,l2_sim_s,l2_status,l2_wall_s,l3_cycles,l3_engine,l3_evidence,l3_sim_s,l3_status,l3_wall_s,max_tensor_elements,numeric_status,operation,required_tiers,shape_regime,shape_signature,status,target
AF9_fused_matmul_bias_bf16_pt,bf16,,contraction,528,model_slice,20282,atlas-arc-arcilator-cosim,467.43845853699895,pass,467.767,20282,gsim,fresh pass,0.31080428800487425,pass,2.608,256,pass,fused_matmul_bias,L0+L1+L2+L3,aligned,16x16 + 16x16 + 16,pass,atlas
AT1_mvin_mvout,fp8_e4m3,,movement,256,isa,2938,atlas-arc-arcilator-cosim,96.72210235399689,pass,96.882,2938,gsim,fresh pass,0.7465599190036301,pass,12.916,256,pass,movement,L0+L1+L2+L3,aligned,16x16,pass,atlas
AT4_bf16_scale,fp8_e4m3,,contraction,2048,isa,1731,atlas-arc-arcilator-cosim,68.71122529399872,pass,68.9,1731,gsim,fresh pass,0.12563401799707208,pass,2.832,1024,pass,matmul,L0+L1+L2+L3,aligned,32x32 + 32x32,pass,atlas
AT6_resident_reuse,fp8_e4m3,,contraction,3072,isa,2741,atlas-arc-arcilator-cosim,103.91407827199873,pass,104.012,2741,gsim,fresh pass,0.05811681100021815,pass,1.448,1024,pass,resident_reuse,L0+L1+L2+L3,aligned,32x32 + 32x32 + 32x32,pass,atlas
BT1_linear_relu,fp8_e4m3,,contraction,2048,layer,1479,atlas-arc-arcilator-cosim,65.7920155049942,pass,65.968,1479,gsim,fresh pass,0.36368763000064064,pass,3.567,1024,pass,linear,L0+L1+L2+L3,aligned,32x32 + 32x32,pass,atlas
CT1_attention_qk,fp8_e4m3,,contraction,2048,model_slice,1345,atlas-arc-arcilator-cosim,61.50281412199547,pass,61.677,1345,gsim,fresh pass,0.16399718199681956,pass,2.458,1024,pass,attention_qk,L0+L1+L2+L3,aligned,32x32 + 32x32,pass,atlas
SY_elementwise_map_fp8_e4m3_aligned,fp8_e4m3,,elementwise map,1056,isa,10034,atlas-arc-arcilator-cosim,280.47612002299866,pass,280.745,10034,gsim,fresh pass,0.9809169750005822,pass,8.312,1024,pass,bias_add,L0+L1+L2+L3,aligned,32x32 + 32,pass,atlas
SY_host_lane_contraction_f32,f32,,contraction,68,model_slice,7720,atlas-arc-arcilator-cosim,280.12498074599716,pass,280.311,7720,gsim,fresh pass,0.7543209779978497,pass,12.51,64,pass,depthwise_conv2d,L0+L1+L2+L3,skewed,1x1x8x8 + 1x1x2x2,pass,atlas
SY_host_only_normalization,f32,L3,normalization,2176,model_slice,41456,atlas-arc-arcilator-cosim,746.3301316739962,fail,746.602,41456,gsim,failed,0.8793046930004493,fail,3.228,2048,fail,layernorm,L0+L1+L2+L3,aligned,32x64 + 64 + 64,fail,atlas
SY_host_only_reduction,f32,,reduction,2048,model_slice,24268,atlas-arc-arcilator-cosim,661.6297268940034,pass,661.872,24268,gsim,fresh pass,1.2243033939957968,pass,6.34,2048,pass,reduce_sum,L0+L1+L2+L3,aligned,32x64,pass,atlas
AF10_bias_add_bf16_pt,bf16,,elementwise map,272,model_slice,3955,atlas-arc-arcilator-cosim,138.22874863899779,pass,138.518,3955,gsim,fresh pass,0.4973192449979251,pass,4.634,256,pass,bias_add,L0+L1+L2+L3,aligned,16x16 + 16,pass,atlas
AF7_reduce_sum_bf16_pt,bf16,,reduction,256,model_slice,2248,atlas-arc-arcilator-cosim,86.08507462299895,pass,86.265,2248,gsim,fresh pass,1.4797867590023088,pass,10.495,256,pass,reduce_sum,L0+L1+L2+L3,aligned,16x16,pass,atlas
AS0_matmul_spec,fp8_e4m3,,contraction,2048,isa,1411,atlas-arc-arcilator-cosim,63.692309252000996,pass,63.83,1411,gsim,fresh pass,0.703239278998808,pass,6.658,1024,pass,matmul,L0+L1+L2+L3,aligned,32x32 + 32x32,pass,atlas
AT0_config_smoke,fp8_e4m3,,contraction,2048,isa,1411,atlas-arc-arcilator-cosim,63.71580285500386,pass,63.996,1411,gsim,fresh pass,0.1705270480015315,pass,2.243,1024,pass,matmul,L0+L1+L2+L3,aligned,32x32 + 32x32,pass,atlas
AT2_single_tile_matmul,fp8_e4m3,,contraction,2048,isa,1411,atlas-arc-arcilator-cosim,63.189011778005806,pass,63.246,1411,gsim,fresh pass,0.16095311399840284,pass,2.01,1024,pass,matmul,L0+L1+L2+L3,aligned,32x32 + 32x32,pass,atlas
AT3_k_accumulation,fp8_e4m3,,contraction,4096,isa,2410,atlas-arc-arcilator-cosim,102.60386229600408,pass,102.738,2410,gsim,fresh pass,0.03285660900291987,pass,1.45,2048,pass,matmul,L0+L1+L2+L3,aligned,64x32 + 32x64,pass,atlas
AT5_relu_epilogue,fp8_e4m3,,contraction,2048,isa,1479,atlas-arc-arcilator-cosim,66.49882497599901,pass,66.737,1479,gsim,fresh pass,0.2167773700057296,pass,2.616,1024,pass,matmul,L0+L1+L2+L3,aligned,32x32 + 32x32,pass,atlas
AT7_matmul_mxu0,fp8_e4m3,,contraction,2048,isa,1411,atlas-arc-arcilator-cosim,61.95965144599904,pass,62.08,1411,gsim,fresh pass,0.33421862199611496,pass,3.226,1024,pass,matmul,L0+L1+L2+L3,aligned,32x32 + 32x32,pass,atlas
AT8_matmul_mxu1,fp8_e4m3,,contraction,2048,isa,1411,atlas-arc-arcilator-cosim,64.18257607800479,pass,64.269,1411,gsim,fresh pass,0.29762947899871506,pass,3.254,1024,pass,matmul,L0+L1+L2+L3,aligned,32x32 + 32x32,pass,atlas
BT0_quantized_linear,fp8_e4m3,,contraction,2048,layer,1411,atlas-arc-arcilator-cosim,56.93619933500304,pass,57.419,1411,gsim,fresh pass,0.19280939599411795,pass,6.799,1024,pass,linear,L0+L1+L2+L3,aligned,32x32 + 32x32,pass,atlas
CT0_mlp_linear1,fp8_e4m3,,contraction,3072,model_slice,3299,atlas-arc-arcilator-cosim,130.49609589600004,pass,130.632,3299,gsim,fresh pass,0.34253127300326014,pass,2.88,2048,pass,linear,L0+L1+L2+L3,aligned,32x64 + 32x32,pass,atlas
SY_contraction_bf16_aligned,bf16,L3,contraction,4096,isa,96933,atlas-arc-arcilator-cosim,786.108839958004,fail,786.208,96933,gsim,failed,0.9221809859955101,fail,5.472,2048,fail,matmul,L0+L1+L2+L3,aligned,64x32 + 32x64,fail,atlas
SY_contraction_bf16_partial,bf16,program_did_not_halt,contraction,3969,isa,,,,,,,,failed,,fail,,2016,skipped,matmul,L0+L1+L2+L3,partial tile,63x31 + 32x63,fail,atlas
SY_contraction_bf16_sub_tile,bf16,,contraction,96,isa,7203,atlas-arc-arcilator-cosim,148.29658908900456,pass,148.595,7203,gsim,fresh pass,0.6621623480023118,pass,8.507,64,pass,matmul,L0+L1+L2+L3,sub-tile,8x8 + 4x8,pass,atlas
SY_contraction_fp8_e4m3_aligned,fp8_e4m3,,contraction,4096,isa,2410,atlas-arc-arcilator-cosim,93.91376240699901,pass,93.999,2410,gsim,fresh pass,0.17083594200084917,pass,2.311,2048,pass,matmul,L0+L1+L2+L3,aligned,64x32 + 32x64,pass,atlas
SY_contraction_fp8_e4m3_partial,fp8_e4m3,,contraction,3969,isa,57940,atlas-arc-arcilator-cosim,722.6273183279991,pass,722.691,57940,gsim,fresh pass,0.3944698960040114,pass,0.781,2016,pass,matmul,L0+L1+L2+L3,partial tile,63x31 + 32x63,pass,atlas
SY_contraction_fp8_e4m3_sub_tile,fp8_e4m3,,contraction,96,isa,1542,atlas-arc-arcilator-cosim,60.638406211000984,pass,60.986,1542,gsim,fresh pass,0.923575107997749,pass,4.673,64,pass,matmul,L0+L1+L2+L3,sub-tile,8x8 + 4x8,pass,atlas
