workload,op_class,shape_id,M,N,K,multiplicity,macs_per_instance,operand_b_identity,dataflow_candidates,legal_spatial_axes,legal_temporal_axes,bypass_candidates,k_reduction_needs_partial_sum,fqn
pi05,linear_gemm,50x2048x1024,50,2048,1024,18,104857600,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,"model.paligemma_with_expert.gemma_expert.model.layers.slice(None, 18, None).0.self_attn.q_proj"
pi05,linear_gemm,50x1024x2048,50,1024,2048,18,104857600,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,"model.paligemma_with_expert.gemma_expert.model.layers.slice(None, 18, None).0.self_attn.o_proj"
pi05,linear_gemm,256x2048x1152,256,2048,1152,3,603979776,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,model.paligemma_with_expert.paligemma.model.multi_modal_projector.linear
pi05,linear_gemm,50x256x1024,50,256,1024,36,13107200,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,"model.paligemma_with_expert.gemma_expert.model.layers.slice(None, 18, None).0.self_attn.k_proj"
pi05,linear_gemm,1x3072x1024,1,3072,1024,37,3145728,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,"model.paligemma_with_expert.gemma_expert.model.layers.slice(None, 18, None).0.input_layernorm.dense"
pi05,linear_gemm,1x1024x1024,1,1024,1024,2,1048576,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,model.time_mlp_in
pi05,linear_gemm,50x1024x32,50,1024,32,1,1638400,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,model.action_in_proj
pi05,linear_gemm,50x32x1024,50,32,1024,1,1638400,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,model.action_out_proj
rdt,attention_contraction,67x67x4096,67,67,4096,2,18386944,activation,output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
rdt,attention_contraction,67x4096x64,67,4096,64,1,17563648,activation,output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
